ID_CORRELATIVO,ATTRITION
47411,0.23644894361495972
39861,0.3010486364364624
38898,0.023283226415514946
50927,0.007766990456730127
32969,0.6492320895195007
89661,0.21499034762382507
12197,0.06501119583845139
71520,0.012034442275762558
59759,0.4770045578479767
36743,0.08962961286306381
10736,0.056047435849905014
5106,0.25216349959373474
44506,0.12976600229740143
47767,0.23844902217388153
74686,0.052518945187330246
63023,0.020363273099064827
13584,0.545657753944397
317,0.030490688979625702
62570,0.029401466250419617
68244,0.012601510621607304
72881,0.06832648813724518
18280,0.001496657496318221
70682,0.01549388375133276
79902,0.06983783096075058
35073,0.04467856138944626
84331,0.10989347100257874
70921,0.021081794053316116
82245,0.22818152606487274
17714,0.03831092268228531
13993,0.012885109521448612
658,0.1583673655986786
33916,0.1774105727672577
92737,0.11620180308818817
22844,0.06005631014704704
93339,0.20034636557102203
29572,0.008566944859921932
24751,0.7983281016349792
37862,0.00817252416163683
26676,0.060971930623054504
8675,0.045436907559633255
64245,0.1788778156042099
57248,0.5291721224784851
3531,0.00184825889300555
9834,0.016275353729724884
74246,0.08311663568019867
56683,0.01871875301003456
16847,0.12136383354663849
96617,0.19931107759475708
94167,0.03878002241253853
42800,0.5184895396232605
70106,0.18608470261096954
42486,0.157290980219841
78076,0.06276565790176392
85819,0.45808687806129456
15786,0.14514560997486115
61483,0.008164024911820889
25630,0.015695182606577873
22501,0.012928071431815624
92447,0.03036452643573284
13795,0.005095658823847771
57101,0.04975122958421707
55077,0.026813797652721405
47600,0.20133689045906067
5924,0.771835446357727
34900,0.09259779006242752
91990,0.210092231631279
50268,0.2184167057275772
66401,0.12186778336763382
18014,0.00888800248503685
20006,0.05486859381198883
55391,0.30620989203453064
40304,0.42785048484802246
12832,0.19697976112365723
41746,0.045312803238630295
69384,0.15124139189720154
56225,0.48870229721069336
46522,0.009642982855439186
59922,0.06102434918284416
48609,0.0662694200873375
77235,0.4770568609237671
8082,0.07667350769042969
65539,0.0509599894285202
39769,0.07652490586042404
96098,0.050408363342285156
86925,0.8159509301185608
53370,0.22145646810531616
